               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,              0.0376,            0.011641,            0.068387,             0.67974,             0.76621,             0.78989,             0.62995,            0.016695,           0.0038122,            0.036542,            0.009274,            0.009274,            0.009274
                  57,            0.037414,            0.011749,            0.068478,             0.67444,             0.77779,             0.79224,             0.63165,            0.016733,           0.0038121,            0.036279,           0.0092481,           0.0092481,           0.0092481
                  58,            0.037651,            0.011741,              0.0682,             0.68849,             0.77154,             0.79451,             0.63352,            0.016755,           0.0038133,             0.03604,           0.0092219,           0.0092219,           0.0092219
                  59,            0.037839,            0.011753,            0.067781,             0.70205,             0.76392,              0.7979,             0.63596,             0.01679,           0.0038147,            0.035785,           0.0091952,           0.0091952,           0.0091952
                  60,            0.037572,            0.011718,            0.067604,             0.70148,             0.76858,             0.79967,             0.63707,            0.016796,            0.003815,            0.035573,           0.0091681,           0.0091681,           0.0091681
                  61,            0.037879,            0.011687,            0.066993,             0.69842,             0.77638,             0.80348,              0.6403,            0.016828,           0.0038141,            0.035342,           0.0091406,           0.0091406,           0.0091406
                  62,            0.037692,            0.011718,            0.067086,             0.71228,             0.76872,             0.80448,             0.64107,            0.016864,           0.0038139,            0.035157,           0.0091127,           0.0091127,           0.0091127
                  63,            0.037618,            0.011705,            0.067249,             0.70564,             0.77541,             0.80624,             0.64218,            0.016891,           0.0038116,            0.034929,           0.0090844,           0.0090844,           0.0090844
                  64,            0.037564,            0.011729,            0.066816,             0.71209,             0.77137,             0.80847,             0.64434,            0.016896,           0.0038104,            0.034663,           0.0090557,           0.0090557,           0.0090557
                  65,            0.038037,            0.011712,            0.066876,             0.72252,             0.76916,             0.81057,             0.64621,            0.016938,           0.0038103,            0.034407,           0.0090266,           0.0090266,           0.0090266
                  66,            0.037959,             0.01175,            0.067406,             0.71774,             0.77554,             0.81355,             0.64815,            0.016974,           0.0038109,            0.034186,           0.0089972,           0.0089972,           0.0089972
                  67,             0.03785,             0.01176,            0.066377,             0.73799,             0.76551,             0.81524,             0.65021,            0.016994,           0.0038111,            0.033933,           0.0089673,           0.0089673,           0.0089673
                  68,            0.037523,            0.011692,             0.06592,             0.73657,             0.76747,             0.81664,              0.6514,            0.016999,           0.0038116,            0.033723,           0.0089371,           0.0089371,           0.0089371
